Pos.,No.,Class,Pro,Rank,Name,Laps,Gap,Last,Fastest,Pit,Vehicle,collection_time
1,3,SP 9,PRO,1,Auer,38,----LAP 38,9:46.909,8:13.690,5,Mercedes-AMG GT3,2026-05-17 00:37:07.850157
2,80,SP 9,PRO,2,Schiller,38,01.212,9:46.499,8:14.337,5,Mercedes-AMG GT3,2026-05-17 00:37:07.850157
3,34,SP 9,PRO,3,Drudi,38,2:30.831,9:54.983,8:17.432,5,Aston Martin Vantage AMR GT3 EVO,2026-05-17 00:37:07.850157
4,99,SP 9,PRO,4,Harper,38,2:42.452,9:36.895,8:18.953,5,BMW M4 GT3 EVO,2026-05-17 00:37:07.850157
5,81,SP-X,PRO,1,de Phillippi,38,2:53.246,10:22.802,8:17.045,5,BMW M3 Touring 24h,2026-05-17 00:37:07.850157
6,44,SP 9,PRO,5,Bachler,37,----LAP 37,10:12.419,8:17.284,5,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:37:07.850157
7,24,SP 9,PRO,6,Vanthoor,37,35.266,10:17.071,8:18.141,4,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:37:07.850157
8,1,SP 9,PRO,7,Farfus,37,2:48.837,10:01.248,8:16.257,5,BMW M4 GT3 EVO,2026-05-17 00:37:07.850157
9,54,SP 9,PRO,8,Christensen,37,2:53.176,10:10.236,8:21.411,4,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:37:07.850157
10,67,SP 9,PRO,9,Vervisch,37,2:59.708,12:56.190,8:16.169,5,Ford Mustang GT3 EVO (2026),2026-05-17 00:37:07.850157
11,65,SP 9,PROAM,10,Caresani,37,3:31.988,9:56.987,8:15.271,5,Ford Mustang GT3 EVO (2026),2026-05-17 00:37:07.850157
12,86,SP 9,PROAM,11,King,37,4:13.543,9:40.795,8:24.189,5,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:37:07.850157
13,26,SP 9,PRO,12,Böckmann,37,4:14.627,9:56.205,8:14.685,5,Mercedes-AMG GT3,2026-05-17 00:37:07.850157
14,84,SP 9,PRO,13,Bortolotti,37,4:37.029,9:52.288,8:11.149,5,Lamborghini Huracan GT3 EVO2,2026-05-17 00:37:07.850157
15,77,SP 9,PRO,14,Frijns,37,5:18.380,10:24.817,8:14.452,5,BMW M4 GT3 EVO,2026-05-17 00:37:07.850157
16,48,SP 9,PROAM,15,Müller,37,5:22.036,10:17.979,8:17.605,5,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:37:07.850157
17,11,SP 9,PROAM,16,Härtling,37,5:34.762,10:15.253,8:19.388,5,Mercedes-AMG GT3,2026-05-17 00:37:07.850157
18,55,SP 9,PRO,17,Sturm,37,6:03.977,10:06.096,8:27.508,6,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:37:07.850157
19,18,SP 9,PROAM,18,Kolb,37,6:49.805,9:52.824,8:24.640,5,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:37:07.850157
20,17,SP 9,PRO,19,Menzel,37,7:08.293,9:36.782,8:18.394,6,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:37:07.850157
21,69,SP 9,PRO,20,Dörr,37,8:08.291,10:03.009,8:18.493,5,McLaren 720S-GT3,2026-05-17 00:37:07.850157
22,123,SP 9,PROAM,21,Brundle,37,9:29.759,9:55.584,8:25.985,5,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:37:07.850157
23,7,SP 9,PRO,22,Paul,37,9:31.632,9:50.406,8:14.446,5,Lamborghini Huracan GT3 EVO2,2026-05-17 00:37:07.850157
24,5,SP 9,AM,23,Kiefer,36,----LAP 36,10:16.556,8:18.760,5,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:37:07.850157
25,4,SP 9,PROAM,24,Fontana,36,20.325,9:55.273,8:22.099,5,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:37:07.850157
26,30,SP 9,PROAM,25,Seefried,36,1:45.583,10:10.548,8:24.267,5,Porsche 911 GT3 R (992) Evo26,2026-05-17 00:37:07.850157
27,39,SP 9,PROAM,26,Hantke,36,3:05.256,10:33.894,8:28.420,5,Aston Martin Vantage AMR GT3 EVO,2026-05-17 00:37:07.850157
28,32,SP 9,PROAM,27,Nakayama,36,4:07.505,12:49.674,8:31.507,5,Mercedes-AMG GT3,2026-05-17 00:37:07.850157
29,66,SP-X,PROAM,2,Hörr,36,6:44.569,10:54.172,8:31.491,5,KTM X-Bow GTX,2026-05-17 00:37:07.850157
30,130,SP 9,PRO,28,Yelloly,36,6:44.674,23:54.448,8:14.351,5,Lamborghini Huracan GT3 EVO2,2026-05-17 00:37:07.850157
31,900,Cup 2,PRO,1,Meijer,36,7:58.985,10:25.087,8:31.415,4,Porsche 911 GT3 Cup (992),2026-05-17 00:37:07.850157
32,902,Cup 2,PRO,2,Rennhofer,36,8:37.544,10:16.282,8:31.047,4,Porsche 911 GT3 Cup (992),2026-05-17 00:37:07.850157
33,918,Cup 2,PRO,3,Scheerbarth,35,----LAP 35,10:17.408,8:32.495,4,Porsche 911 GT3 Cup (992),2026-05-17 00:37:07.850157
34,71,SP 9,PROAM,29,Kaffer,35,40.893,12:08.440,8:27.786,5,Audi R8 LMS GT3 evo II,2026-05-17 00:37:07.850157
35,19,AT1,PROAM,1,Coronel,35,4:26.358,10:11.285,8:26.868,5,Audi R8 LMS GT3 evo II,2026-05-17 00:37:07.850157
36,61,SP-X,PRO,3,Arnold,35,6:53.283,10:47.814,8:49.118,5,HWA EVO.R,2026-05-17 00:37:07.850157
37,992,SP-PRO,PROAM,1,Griesemann,35,7:47.015,13:55.477,8:36.238,5,Porsche 911 GT3 CUP MR,2026-05-17 00:37:07.850157
38,8,SP 9,AM,30,Veremenko,35,8:01.970,10:15.222,8:31.131,5,Audi R8 LMS GT3 evo II,2026-05-17 00:37:07.850157
39,62,SP-X,PRO,4,Adelson,35,9:04.170,11:59.157,8:44.071,4,HWA EVO.R,2026-05-17 00:37:07.850157
40,33,SP 9,PROAM,31,Di Martino,35,3:44.903,15:55.817,8:33.316,6,Audi R8 LMS GT3 evo II,2026-05-17 00:37:07.850157
41,88,SP 4T,,1,Kubo,35,9:32.227,11:48.582,8:58.132,4,Subaru WRX,2026-05-17 00:37:07.850157
42,925,Cup 2,PRO,4,Miller,34,----LAP 34,10:20.400,8:50.061,4,Porsche 911 GT3 Cup (992),2026-05-17 00:37:07.850157
43,909,Cup 2,AM,5,Messenger,34,,11:46.048,8:38.719,4,Porsche 911 GT3 Cup (992),2026-05-17 00:37:07.850157
44,63,SP-X,PRO,5,Holstad,34,1:09.424,11:28.262,8:50.353,5,HWA EVO.R,2026-05-17 00:37:07.850157
45,904,Cup 2,AM,6,Kranz,34,1:11.635,11:50.541,8:34.272,5,Porsche 911 GT3 Cup (992),2026-05-17 00:37:07.850157
46,632,AT2,,1,Charoudin,34,1:22.602,10:58.906,8:33.391,5,Porsche 911 GT3 Cup (992.1),2026-05-17 00:37:07.850157
47,777,Cup 2,AM,7,Jönsson,34,1:32.295,11:56.590,8:37.406,4,Porsche 911 GT3 Cup (992),2026-05-17 00:37:07.850157
48,962,Cup 3,PRO,1,Wiedmann,34,2:05.729,11:02.774,9:00.773,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
49,908,Cup 2,AM,8,Mühlenz,34,2:49.737,14:27.960,8:48.446,4,Porsche 911 GT3 Cup (992),2026-05-17 00:37:07.850157
50,919,Cup 2,PRO,9,Chrzanowski,34,3:07.336,10:19.602,8:34.385,5,Porsche 911 GT3 Cup (992),2026-05-17 00:37:07.850157
51,176,SP 10,PROAM,1,de Oliveira,34,3:14.197,14:35.624,9:00.405,4,Mercedes-AMG GT4,2026-05-17 00:37:07.850157
52,888,SP 10,PROAM,2,Wiskirchen,34,3:14.894,15:08.293,8:54.980,4,BMW M4 GT4 EVO (G82),2026-05-17 00:37:07.850157
53,187,SP 10,PROAM,3,Link,34,3:51.342,14:10.688,8:57.978,5,BMW M4 GT4 (G82),2026-05-17 00:37:07.850157
54,180,SP 10,AM,4,Ogburn,34,6:01.853,11:11.857,8:56.749,5,BMW M4 GT4 EVO (G82),2026-05-17 00:37:07.850157
55,971,Cup 3,PRO,2,Braun,34,6:17.543,12:09.207,9:00.846,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
56,145,SP 10,PROAM,5,Bleekemolen,34,6:45.999,11:10.870,8:57.361,5,BMW M4 GT4 EVO (G82),2026-05-17 00:37:07.850157
57,36,SP 9,AM,32,Scherer,34,7:44.794,11:57.971,9:05.727,5,BMW E89 Z4 (EVO 2013),2026-05-17 00:37:07.850157
58,177,SP 10,PROAM,6,Nicolae,34,8:09.105,10:54.145,9:00.667,4,BMW M4 GT4 EVO (G82),2026-05-17 00:37:07.850157
59,91,SP 7,,1,Ertl,34,9:21.708,11:49.779,8:49.797,5,Porsche 911 GT3 Cup (991),2026-05-17 00:37:07.850157
60,90,SP 10,PROAM,7,Sagrera,34,7:41.104,10:51.396,8:59.380,5,Toyota GR Supra GT4 EVO2,2026-05-17 00:37:07.850157
61,961,Cup 3,PRO,3,Lu,33,----LAP 33,11:27.088,9:08.057,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
62,949,Cup 3,AM,4,Wenisch,33,34.207,11:51.720,9:12.020,5,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
63,966,Cup 3,PRO,5,Oehme,33,40.847,13:02.320,9:17.003,6,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
64,776,TCR,,1,Gabbiani,33,3:18.636,15:24.742,9:20.188,6,Audi RS3 LMS SEQ,2026-05-17 00:37:07.850157
65,939,Cup 3,AM,6,Schwenk,33,4:24.151,13:55.264,9:15.697,5,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
66,171,SP 10,AM,8,Ullström,33,4:26.833,15:20.512,9:23.892,5,Porsche 718 Cayman GT4 RS CS,2026-05-17 00:37:07.850157
67,952,Cup 3,PRO,7,Kraus,33,6:35.630,11:46.208,9:27.223,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
68,982,Cup 3,AM,8,Duffner,33,6:50.250,11:50.968,9:22.333,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
69,945,Cup 3,AM,9,Okumura,33,7:57.236,12:19.504,9:41.427,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
70,13,Cup 2,AM,10,Ecke,32,----LAP 32,13:18.373,9:17.807,4,Porsche 911 GT3 Cup (992),2026-05-17 00:37:07.850157
71,95,Cup 2,PRO,11,Rettenbacher,32,17.211,10:30.251,8:38.526,7,Porsche 911 GT3 Cup (992),2026-05-17 00:37:07.850157
72,999,Cup 3,PRO,10,Riemer,32,51.490,11:22.012,9:07.084,5,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
73,164,SP 10,PROAM,9,Brodmerkel,32,1:31.756,15:37.230,8:59.910,5,Porsche 718 Cayman GT4 RS CS,2026-05-17 00:37:07.850157
74,175,SP 10,AM,10,Vazquez,32,3:37.538,14:27.292,9:09.674,5,Mercedes-AMG GT4,2026-05-17 00:37:07.850157
75,967,Cup 3,PRO,11,Rich,32,4:43.684,12:27.187,9:23.859,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
76,169,SP 10,AM,11,Sander,32,6:17.398,11:22.768,9:17.197,4,Aston Martin Vantage AMR GT4,2026-05-17 00:37:07.850157
77,969,Cup 3,AM,12,Stewart,32,7:59.567,14:42.301,9:27.071,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
78,317,SP 3T,,1,Haugg,32,8:06.494,11:33.965,9:34.061,5,Audi TTs,2026-05-17 00:37:07.850157
79,37,SP 9,AM,33,Wahl,32,8:50.048,10:58.050,8:37.093,6,Aston Martin Vantage AMR GT3,2026-05-17 00:37:07.850157
80,978,Cup 3,AM,13,Lamsouguer,32,9:12.763,11:59.053,9:33.831,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
81,50,SP 4T,,2,Hammel,32,,12:43.149,8:57.956,5,VW Golf GTI Clubsport 24h,2026-05-17 00:37:07.850157
82,977,Cup 3,AM,14,Zimmermann,31,----LAP 31,15:24.480,9:48.521,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
83,898,BMW,,1,Dacher,31,1:05.744,13:51.961,9:44.883,4,BMW M2 Racing (G87)*,2026-05-17 00:37:07.850157
84,396,V6,,1,Büllesbach,31,1:21.832,13:56.021,9:38.681,5,Porsche Cayman S*,2026-05-17 00:37:07.850157
85,519,VT2 Hecka,,1,Tack,31,1:41.539,13:57.228,9:48.700,4,Toyota Supra*,2026-05-17 00:37:07.850157
86,878,BMW,,2,Schlichenmeier,31,3:23.677,13:19.396,9:51.694,5,BMW M2 Racing (G87)*,2026-05-17 00:37:07.850157
87,480,VT2 Front,,1,Dupré,31,3:33.421,14:09.687,9:49.819,5,Audi S3-Lim*,2026-05-17 00:37:07.850157
88,500,VT2 Hecka,,2,Zils,31,3:43.021,14:13.527,9:49.234,4,BMW 330i*,2026-05-17 00:37:07.850157
89,669,BMW M240i,,1,Petrolo,31,4:24.742,11:36.917,9:43.196,4,BMW M240i Racing Cup*,2026-05-17 00:37:07.850157
90,577,TCR,,2,Rosam,31,4:32.804,14:29.589,9:25.597,4,Cupra Leon Competición TCR,2026-05-17 00:37:07.850157
91,658,BMW M240i,,2,Sari,31,6:03.699,14:18.871,9:58.764,5,BMW M240i Racing Cup*,2026-05-17 00:37:07.850157
92,652,BMW M240i,,3,Opran,31,7:03.941,11:26.506,9:37.792,5,BMW M240i Racing Cup*,2026-05-17 00:37:07.850157
93,321,SP 3T,,2,Mache,31,7:06.034,11:04.483,9:20.461,7,VW GOLF 7 GTI TCR DSG,2026-05-17 00:37:07.850157
94,170,SP 10,,12,Koyama,31,7:43.043,12:04.323,9:00.540,5,Toyota GR Supra GT4 EVO2,2026-05-17 00:37:07.850157
95,448,V6,,2,Müller,31,8:02.754,11:29.673,9:38.614,6,Porsche Cayman S*,2026-05-17 00:37:07.850157
96,665,BMW M240i,,4,Reinhard,31,8:26.417,11:37.264,9:41.802,5,BMW M240i Racing Cup*,2026-05-17 00:37:07.850157
97,653,BMW M240i,,5,Fitzgerald,31,8:31.562,11:53.340,9:45.564,6,BMW M240i Racing Cup*,2026-05-17 00:37:07.850157
98,941,Cup 3,PRO,15,van der Snel,31,,10:29.524,9:05.659,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
99,471,VT2 Front,,2,Eichhorn,30,----LAP 30,15:27.227,9:59.750,5,Cupra Leon KL*,2026-05-17 00:37:07.850157
100,474,VT2 Front,,3,Hrubesch,30,58.548,12:31.480,10:15.189,5,VW Golf GTI *,2026-05-17 00:37:07.850157
101,444,V5,,1,Korn,30,1:10.053,11:29.534,9:54.131,5,Porsche Cayman CM12*,2026-05-17 00:37:07.850157
102,40,SP 9,AM,34,Posavac,30,1:51.295,18:34.705,8:53.859,4,BMW E89 Z4 (EVO 2013),2026-05-17 00:37:07.850157
103,89,TCR,,3,Groneck,30,2:44.765,11:46.191,9:55.499,5,VW GOLF 7 GTI TCR DSG,2026-05-17 00:37:07.850157
104,454,V5,,2,Hansen,30,2:51.041,12:44.455,10:10.380,4,Porsche Cayman CM12*,2026-05-17 00:37:07.850157
105,524,VT2 Hecka,,3,Ooms,30,3:11.869,14:39.846,9:48.602,4,Toyota Supra*,2026-05-17 00:37:07.850157
106,670,BMW M240i,,6,Paviot,30,3:24.566,15:10.843,9:58.466,5,BMW M240i Racing Cup*,2026-05-17 00:37:07.850157
107,870,BMW,,3,Kreutzpointner,30,3:50.919,12:48.925,9:46.793,5,BMW M2 Racing (G87)*,2026-05-17 00:37:07.850157
108,520,VT2 Hecka,,4,Horino,30,6:30.561,15:21.149,9:56.492,4,Toyota Supra*,2026-05-17 00:37:07.850157
109,667,BMW M240i,,7,Fontes,30,8:27.985,15:43.246,9:49.349,5,BMW M240i Racing Cup*,2026-05-17 00:37:07.850157
110,503,VT2 Hecka,,5,Ehrhardt,30,9:20.423,12:26.495,10:07.362,5,Toyota Supra*,2026-05-17 00:37:07.850157
111,420,SP 7,,2,Schöni,30,10:43.247,12:10.508,9:15.838,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
112,472,VT2 Front,,4,Füting,30,8:50.097,13:46.616,10:15.934,5,Cupra Leon KL*,2026-05-17 00:37:07.850157
113,651,BMW M240i,,8,Silva,29,----LAP 29,14:13.951,9:38.161,5,BMW M240i Racing Cup*,2026-05-17 00:37:07.850157
114,100,BMW 325i,,1,Gruber,29,29.161,13:30.483,10:21.172,3,BMW 325i*,2026-05-17 00:37:07.850157
115,821,SP 3T,,3,Epp,29,4:52.428,11:26.989,9:40.639,6,Audi RS3 LMS DSG*,2026-05-17 00:37:07.850157
116,650,BMW M240i,,9,Fübrich,29,5:53.753,13:41.324,9:29.559,5,BMW M240i Racing Cup*,2026-05-17 00:37:07.850157
117,418,V6,,3,Lamadrid,29,6:58.680,13:13.372,10:12.681,6,Porsche Cayman S*,2026-05-17 00:37:07.850157
118,514,VT2 Hecka,,6,De Groot,29,8:12.480,14:01.960,9:47.916,4,BMW 330i*,2026-05-17 00:37:07.850157
119,415,V6,,4,Rings,29,,11:17.984,9:39.386,5,Porsche 911 Carrera*,2026-05-17 00:37:07.850157
120,320,AT2,,2,López Cesaratto,28,----LAP 28,11:28.727,8:57.689,5,Porsche 911 GT3 Cup (992.1),2026-05-17 00:37:07.850157
121,979,Cup 3,PRO,16,Surzyshyn,28,16.982,15:22.144,9:18.187,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
122,959,Cup 3,PRO,17,Haughton,28,1:58.013,12:37.460,9:01.126,4,Porsche 718 Cayman GT4 Clubsport (Typ 982),2026-05-17 00:37:07.850157
123,101,BMW 325i,,2,Schwolow,28,2:43.903,16:18.352,10:43.196,4,BMW 325i (e90)*,2026-05-17 00:37:07.850157
124,505,VT2 Hecka,,7,Van Vooren,28,3:48.982,12:35.313,10:43.608,4,BMW 330i*,2026-05-17 00:37:07.850157
125,112,BMW 325i,,3,Küpper,28,7:46.577,15:25.422,10:33.637,5,BMW 325i (e90)*,2026-05-17 00:37:07.850157
126,455,V5,,3,Trinius,28,,22:54.838,10:35.030,5,Porsche Cayman CM12*,2026-05-17 00:37:07.850157
127,303,SP 4T,,3,Shin,28,6:48.392,13:21.674,9:29.769,4,Hyundai Motor Company ELANTRAN1 RP,2026-05-17 00:37:07.850157
128,830,TCR,,4,Basseng,27,----LAP 27,10:39.103,8:54.740,4,Hyundai Motor Company ELANTRA N TCR,2026-05-17 00:37:07.850157
129,445,V5,,4,Welker,27,21.872,13:12.587,10:41.778,5,Porsche Cayman CM12*,2026-05-17 00:37:07.850157
130,440,V5,,5,Ebener,27,2:02.254,11:57.419,10:09.194,5,Porsche Cayman CM12*,2026-05-17 00:37:07.850157
131,477,VT2 Front,,5,Mennecke,27,2:32.773,13:18.035,10:56.392,5,VW Scirocco R TSI*,2026-05-17 00:37:07.850157
132,380,SP 2T,,1,Schäffer,27,3:45.168,19:09.641,10:43.078,4,Opel Corsa GS Line 130*,2026-05-17 00:37:07.850157
133,152,SP 4,,1,Koger,27,4:03.662,20:12.305,11:21.667,4,BMW 325CI*,2026-05-17 00:37:07.850157
